Season,ETD Week,ETA Week,ETA,Transport,Specie,Variety,Importer,Exporter,Arrival port,Vessel,Boxes
2023-2024,2-2024,4-2024,24-01-2024,LINER,Plum,Sapphire,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Batam,392
2023-2024,2-2024,4-2024,24-01-2024,LINER,Plum,Sapphire,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Maersk Batam,408
2023-2024,2-2024,4-2024,24-01-2024,LINER,Plum,Sapphire,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Maersk Batam,250
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Bengard Marketing,Fru.del Huerto,Los Angeles,Ice Runner,4306
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Sapphire,Bengard Marketing,Greenvic,Los Angeles,Ice Runner,1313
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Bengard Marketing,Monte Alto,Los Angeles,Ice Runner,3352
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Sapphire,Bengard Marketing,Monte Alto,Los Angeles,Ice Runner,969
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Sapphire,Bengard Marketing,Soc.c & L Frut,Los Angeles,Ice Runner,632
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Giant,Bengard Marketing,Tuniche Fruits,Los Angeles,Ice Runner,143
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,David Oppenheimer Inc.,Verfrut Spa,Los Angeles,Ice Runner,761
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Splendor,David Oppenheimer Inc.,Verfrut Spa,Los Angeles,Ice Runner,868
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Queen Rosa,David Oppenheimer Inc.,Verfrut Spa,Los Angeles,Ice Runner,771
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Ice Runner,295
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Splendor,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Ice Runner,1150
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ice Runner,575
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Splendor,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ice Runner,606
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Queen Rosa,Forever Fresh Llc,Verfrut Spa,Los Angeles,Ice Runner,319
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Honey Dream,Kingsburg Orchards,C Y D S.a.,Los Angeles,Ice Runner,413
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Owen T,Kopke Jr.inc. William H.,Exp.agua Santa,Los Angeles,Ice Runner,55
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Sapphire,Kopke Jr.inc. William H.,Exp.agua Santa,Los Angeles,Ice Runner,330
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Pacific Trellis Fruit,Fru.del Huerto,Los Angeles,Ice Runner,1800
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Pacific Trellis Fruit,Monte Alto,Los Angeles,Ice Runner,2020
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Sapphire,Pacific Trellis Fruit,Monte Alto,Los Angeles,Ice Runner,834
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Sapphire,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Ice Runner,180
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Yummi Beaut,Sierra Produce,C Y D S.a.,Los Angeles,Ice Runner,344
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Owen T,Sierra Produce,Exp.agua Santa,Los Angeles,Ice Runner,744
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Sierra Produce,La Higuera S.a.,Los Angeles,Ice Runner,360
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Lemon,Sierra Produce,La Higuera S.a.,Los Angeles,Ice Runner,3344
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Sierra Produce,Verfrut Spa,Los Angeles,Ice Runner,2067
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Splendor,Sierra Produce,Verfrut Spa,Los Angeles,Ice Runner,2493
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Owen T,Sierra Produce,Verfrut Spa,Los Angeles,Ice Runner,175
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Queen Rosa,Sierra Produce,Verfrut Spa,Los Angeles,Ice Runner,65
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Black Ambar,Valhalla Sales Marketing,La Higuera S.a.,Los Angeles,Ice Runner,960
2023-2024,2-2024,4-2024,26-01-2024,CHARTER,Plum,Lemon,Valhalla Sales Marketing,La Higuera S.a.,Los Angeles,Ice Runner,1704
2023-2024,2-2024,4-2024,26-01-2024,LINER,Plum,Ebony,Capespan North America Inc.,Verfrut Spa,Filadelfia,As Anne,425
2023-2024,2-2024,4-2024,26-01-2024,LINER,Plum,Ebony,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,As Anne,2720
2023-2024,2-2024,4-2024,26-01-2024,LINER,Plum,Ebony,Forever Fresh Llc,Verfrut Spa,Filadelfia,As Anne,3485
2023-2024,2-2024,4-2024,26-01-2024,LINER,Plum,Ebony,Sierra Produce,Verfrut Spa,Filadelfia,As Anne,2720
2023-2024,2-2024,4-2024,26-01-2024,LINER,Plum,Black Ambar,Summit Produce Inc,Lafrut Ltda.,Everglades,As Anne,1760
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,1320
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Verfrut Spa,Miami,AIR,528
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Ebony,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,36
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,3308
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Black Royal,Dayka Hackett Llc,Tuniche Fruits,Miami,AIR,352
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,960
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Owen T,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,624
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Sapphire,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,72
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Black Ambar,Direct Sourcing Logistics In,Greenvic,Miami,AIR,268
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Owen T,Direct Sourcing Logistics In,Greenvic,Miami,AIR,1728
2023-2024,3-2024,3-2024,16-01-2024,AIR,Plum,Lemon,Cooseman New York Inc,Summerland Exp,New York,AIR,80
2023-2024,3-2024,3-2024,17-01-2024,AIR,Plum,Owen T,Capespan North America Inc.,Verfrut Spa,Miami,AIR,440
2023-2024,3-2024,3-2024,17-01-2024,AIR,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Miami,AIR,1056
2023-2024,3-2024,3-2024,17-01-2024,AIR,Plum,Owen T,Jac Vandenberg Inc.,Verfrut Spa,Miami,AIR,440
2023-2024,3-2024,3-2024,17-01-2024,AIR,Plum,Owen T,Pacific Trellis Fruit,Verfrut Spa,Miami,AIR,3432
2023-2024,3-2024,3-2024,18-01-2024,AIR,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Miami,AIR,176
2023-2024,3-2024,3-2024,18-01-2024,AIR,Plum,Black Royal,Tastyfrutti International Inc.,Tuniche Fruits,Miami,AIR,288
2023-2024,3-2024,3-2024,18-01-2024,AIR,Plum,Ebony,Tastyfrutti International Inc.,Tuniche Fruits,Miami,AIR,72
2023-2024,3-2024,3-2024,19-01-2024,AIR,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Miami,AIR,704
2023-2024,3-2024,3-2024,19-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Los Angeles,AIR,176
2023-2024,3-2024,3-2024,19-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,880
2023-2024,3-2024,3-2024,19-01-2024,AIR,Plum,Owen T,Pacific Trellis Fruit,Verfrut Spa,Miami,AIR,2200
2023-2024,3-2024,3-2024,19-01-2024,AIR,Plum,Black Royal,Tastyfrutti International Inc.,Tuniche Fruits,Miami,AIR,133
2023-2024,3-2024,3-2024,19-01-2024,AIR,Plum,Ebony Sweet,Tastyfrutti International Inc.,Tuniche Fruits,Miami,AIR,83
2023-2024,3-2024,3-2024,20-01-2024,AIR,Plum,Crimson Dawn,Contel Fresh Inc.,C Y D S.a.,Miami,AIR,576
2023-2024,3-2024,3-2024,20-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Verfrut Spa,Miami,AIR,8272
2023-2024,3-2024,3-2024,20-01-2024,AIR,Plum,Owen T,Direct Sourcing Logistics In,Greenvic,Miami,AIR,475
2023-2024,3-2024,4-2024,22-01-2024,AIR,Plum,Owen T,Contel Fresh Inc.,Araucaria Exp.,Miami,AIR,1080
2023-2024,3-2024,4-2024,22-01-2024,AIR,Plum,Owen T,David Oppenheimer Inc.,Geofrut Ltda.,Miami,AIR,1524
2023-2024,3-2024,4-2024,22-01-2024,AIR,Plum,Sapphire,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,47
2023-2024,3-2024,4-2024,22-01-2024,AIR,Plum,Lemon,Rio Vista Ventures Llc,Exportafresh Sp,Atlanta,AIR,360
2023-2024,3-2024,4-2024,23-01-2024,TRUCK,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,TRUCK,1248
2023-2024,3-2024,4-2024,24-01-2024,TRUCK,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,TRUCK,1248
2023-2024,3-2024,4-2024,25-01-2024,TRUCK,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,TRUCK,1248
2023-2024,3-2024,4-2024,26-01-2024,TRUCK,Plum,Owen T,Contel Fresh Inc.,Geofrut Ltda.,Miami,TRUCK,704
2023-2024,3-2024,4-2024,26-01-2024,TRUCK,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,TRUCK,3744
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Black Glory,A La Orden,Agricom Ltda.,Filadelfia,Msc Cassandre,2113
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Saphiro,A La Orden,Agricom Ltda.,Filadelfia,Msc Cassandre,1267
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Yummy Giant,A La Orden,Agricom Ltda.,Filadelfia,Msc Cassandre,1916
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Fortune,Bengard Marketing,David Del Curto,Los Angeles,Msc Cassandre,3173
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Lemon,Bengard Marketing,David Del Curto,Los Angeles,Msc Cassandre,1451
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Owen T,Capespan North America Inc.,Verfrut Spa,Filadelfia,Msc Cassandre,1020
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Owen T,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Msc Cassandre,120
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Owen T,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Cassandre,850
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Owen T,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Cassandre,2676
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Sapphire,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Cassandre,84
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Black Ambar,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Msc Cassandre,458
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Blue Giant,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Msc Cassandre,22
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Owen T,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Msc Cassandre,520
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Fortune,Pacific Trellis Fruit,David Del Curto,Filadelfia,Msc Cassandre,2224
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Lemon,Pacific Trellis Fruit,La Higuera S.a.,Filadelfia,Msc Cassandre,2576
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Lemon,Pacific Trellis Fruit,Prize S.a.,Filadelfia,Msc Cassandre,800
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Owen T,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Msc Cassandre,1520
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Crimson Dawn,Walmart Stores Inc.,C Y D S.a.,Savannah,Msc Cassandre,1074
2023-2024,3-2024,4-2024,27-01-2024,LINER,Plum,Fortune,Walmart Stores Inc.,C Y D S.a.,Savannah,Msc Cassandre,1203
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Glory,A La Orden,Agricom Ltda.,Los Angeles,Star Trust,2080
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Saphiro,A La Orden,Agricom Ltda.,Los Angeles,Star Trust,1913
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Yummy Giant,A La Orden,Agricom Ltda.,Los Angeles,Star Trust,1591
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Blue Giant,A La Orden,Gesex S.a.,Los Angeles,Star Trust,1800
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Crimson Dawn,A La Orden,Lo Garces Spa,Los Angeles,Star Trust,1456
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Fortune,A La Orden,Lo Garces Spa,Los Angeles,Star Trust,784
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Blue Giant,Bengard Marketing,Greenvic,Los Angeles,Star Trust,28
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Owen T,Bengard Marketing,Greenvic,Los Angeles,Star Trust,2076
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Sapphire,Bengard Marketing,Greenvic,Los Angeles,Star Trust,192
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Yummy Giant,Bengard Marketing,Greenvic,Los Angeles,Star Trust,168
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Ambar,Bengard Marketing,Monte Alto,Los Angeles,Star Trust,2304
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Sapphire,Bengard Marketing,Soc.c & L Frut,Los Angeles,Star Trust,493
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Royal,Bengard Marketing,Tuniche Fruits,Los Angeles,Star Trust,840
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Fortune,David Oppenheimer Inc.,Fru.del Huerto,Los Angeles,Star Trust,2856
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Ebony,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Star Trust,564
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Owen T,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Star Trust,116
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Owen T,Forever Fresh Llc,Verfrut Spa,Los Angeles,Star Trust,1200
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Ebony Sweet,Kingsburg Orchards,C Y D S.a.,Los Angeles,Star Trust,662
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Honey Dream,Kingsburg Orchards,C Y D S.a.,Los Angeles,Star Trust,191
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Owen T,Kopke Jr.inc. William H.,Exp.agua Santa,Los Angeles,Star Trust,385
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Sapphire,Kopke Jr.inc. William H.,Exp.agua Santa,Los Angeles,Star Trust,330
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Owen T,Kopke Jr.inc. William H.,Greenvic,Los Angeles,Star Trust,480
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Ambar,Pacific Trellis Fruit,Fru.del Huerto,Los Angeles,Star Trust,1704
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Black Ambar,Pacific Trellis Fruit,Monte Alto,Los Angeles,Star Trust,3248
2023-2024,3-2024,4-2024,28-01-2024,CHARTER,Plum,Sapphire,Pacific Trellis Fruit,Monte Alto,Los Angeles,Star Trust,459
